Name,Type,Drive,MSRP,Dealer,Engine,Cyl,HP,CMPG,HMPG,Weight,WheelBase,Length,Width
Mazda RX-8 4dr manual,Sports,RWD,27200,25179,1.3,-1,238,18,24,3.029,106,174,
Mercedes-Benz SL500 convertible 2dr,Sports,RWD,90520,84325,5,8,302,16,23,4.065,101,179,72
Mercedes-Benz SL55 AMG 2dr,Sports,RWD,121770,113388,5.5,8,493,14,21,4.235,101,179,72
Mercedes-Benz SL600 convertible 2dr,Sports,RWD,126670,117854,5.5,12,493,13,19,4.429,101,179,72
Mercedes-Benz SLK230 convertible 2dr,Sports,RWD,40320,37548,2.3,4,192,21,29,3.055,95,158,68
Mercedes-Benz SLK32 AMG 2dr,Sports,RWD,56170,52289,3.2,6,349,17,22,3.22,95,158,68
Mitsubishi Eclipse GTS 2dr,Sports,FWD,25092,23456,3,6,210,21,28,3.241,101,177,69
Mitsubishi Eclipse Spyder GT convertible 2dr,Sports,FWD,26992,25218,3,6,210,21,28,3.296,101,177,69
Mitsubishi Lancer Evolution 4dr,Sports,FWD,29562,27466,2,4,271,18,26,3.263,103,179,70
Nissan 350Z coupe 2dr,Sports,RWD,26910,25203,3.5,6,287,20,26,3.188,104,169,72
Nissan 350Z Enthusiast convertible 2dr,Sports,RWD,34390,31845,3.5,6,287,20,26,3.428,104,169,72
Pontiac GTO 2dr,Sports,RWD,33500,30710,5.7,8,340,,,3.725,110,190,73
Porsche 911 Carrera convertible 2dr (coupe),Sports,RWD,79165,69229,3.6,6,315,18,26,3.135,93,175,70
Porsche 911 Carrera 4S coupe 2dr (convert),Sports,AWD,84165,72206,3.6,6,315,17,24,3.24,93,175,72
Porsche 911 Targa coupe 2dr,Sports,RWD,76765,67128,3.6,6,315,18,26,3.119,93,175,70
Porsche 911 GT2 2dr,Sports,RWD,192465,173560,3.6,6,477,17,24,3.131,93,175,72
Porsche Boxster convertible 2dr,Sports,RWD,43365,37886,2.7,6,228,20,29,2.811,95,170,70
Porsche Boxster S convertible 2dr,Sports,RWD,52365,45766,3.2,6,258,18,26,2.911,95,170,70
Subaru Impreza WRX 4dr,Sports,AWD,25045,23022,2,4,227,20,27,3.085,99,174,69
Subaru Impreza WRX STi 4dr,Sports,AWD,31545,29130,2.5,4,300,18,24,3.263,100,174,69
Toyota Celica GT-S 2dr,Sports,FWD,22570,20363,1.8,4,180,24,33,2.5,102,171,68
Toyota MR2 Spyder convertible 2dr,Sports,RWD,25130,22787,1.8,4,138,26,32,2.195,97,153,67
Cadillac Escaladet,SUV,FWD,52795,48377,5.3,8,295,14,18,5.367,116,199,79
Cadillac SRX V8,SUV,FWD,46995,43523,4.6,8,320,16,21,4.302,116,195,73
Chevrolet Suburban 1500 LT,SUV,FWD,42735,37422,5.3,8,295,14,18,4.947,130,219,79
Chevrolet Tahoe LT,SUV,AWD,41465,36287,5.3,8,295,14,18,5.05,116,197,79
Dodge Durango SLT,SUV,AWD,32235,29472,4.7,8,230,15,21,4.987,119,201,76
Ford Excursion 6.8 XLT,SUV,AWD,41475,36494,6.8,10,310,,,7.19,137,227,80
Ford Expedition 4.6 XLT,SUV,FWD,34560,30468,4.6,8,232,15,19,5,119,206,79
GMC Envoy XUV SLE,SUV,FWD,31890,28922,4.2,6,275,15,19,4.945,129,208,75
CMC Yukon 1500 SLE,SUV,FWD,35725,31361,4.8,8,285,16,19,5.042,116,199,79
GMC Yukon XL 2500 SLT,SUV,AWD,46265,40534,6,8,325,13,17,6.133,130,219,79
Hummer H2,SUV,AWD,49995,45815,6,8,316,10,12,6.4,123,190,81
Isuzu Ascender S,SUV,AWD,31849,29977,4.2,6,275,15,20,4.967,129,208,76
Lincoln Navigator Luxury,SUV,AWD,52775,46360,5.4,8,300,13,18,5.969,119,206,80
Nissan Pathfinder Armada SE,SUV,FWD,33840,30815,5.6,8,305,13,19,5.013,123,207,79
Toyota Sequoia SR5,SUV,AWD,35695,31827,4.7,8,240,14,17,5.27,118,204,78
Acura MDX,SUV,AWD,36945,33337,3.5,6,265,17,23,4.451,106,189,77
BMW X3 3.0i,SUV,AWD,37000,33873,3,6,225,16,23,4.023,110,180,73
BMW X5 4.4i,SUV,AWD,52195,47720,4.4,8,325,16,22,4.824,111,184,74
Buick Rainier,SUV,AWD,37895,34357,4.2,6,275,15,21,4.6,113,193,75
Buick Rendezvous CX,SUV,FWD,26545,24085,3.4,6,185,19,26,4.024,112,187,74
Chevrolet TrailBlazer LT,SUV,FWD,30295,27479,4.2,6,275,16,21,4.425,113,192,75
Ford Explorer XLT V6,SUV,AWD,29670,26983,4,6,210,15,20,4.463,114,190,72
Honda Pilot LX,SUV,AWD,27560,24843,3.5,6,240,17,22,4.387,106,188,77
Isuzu Rodeo S,SUV,FWD,20449,19261,3.2,6,193,17,21,3.836,106,178,70
Jeep Grand Cherokee Laredo,SUV,FWD,27905,25686,4,6,195,16,21,3.79,106,181,72
Kia Sorento LX,SUV,FWD,19635,18630,3.5,6,192,16,19,4.112,107,180,73
Land Rover Range Rover HSE,SUV,AWD,72250,65807,4.4,8,282,12,16,5.379,113,195,76
Lexus GX 470,SUV,AWD,45700,39838,4.7,8,235,15,19,4.74,110,188,74
Lexus LX 470,SUV,AWD,64800,56455,4.7,8,235,13,17,5.59,112,193,76
Lexus RX 330,SUV,AWD,39195,34576,3.3,6,230,18,24,4.065,107,186,73
Lincoln Aviator Ultimate,SUV,FWD,42915,39443,4.6,8,302,13,18,4.834,114,193,76
Mercedes-Benz G500,SUV,AWD,76870,71540,5,8,292,13,14,5.423,112,186,71
Mercedes-Benz ML500,SUV,AWD,46470,43268,5,8,288,14,17,4.874,111,183,72
Mercury Mountaineer,SUV,FWD,29995,27317,4,6,210,16,21,4.374,114,190,72
Mitsubishi Endeavor XLS,SUV,AWD,30492,28330,3.8,6,215,17,21,4.134,109,190,74
Mitsubishi Montero XLS,SUV,AWD,33112,30763,3.8,6,215,15,19,4.718,110,190,75
Nissan Pathfinder SE,SUV,FWD,27339,25972,3.5,6,240,16,21,3.871,106,183,72
Pontiac Aztekt,SUV,FWD,21595,19810,3.4,6,185,19,26,3.779,108,182,74
Porsche Cayenne S,SUV,AWD,56665,49865,4.5,8,340,14,18,4.95,112,188,76
Saturn VUE,SUV,AWD,20585,19238,2.2,4,143,21,26,3.381,107,181,72
Suzuki XL-7 EX,SUV,FWD,23699,22307,2.7,6,185,18,22,3.682,110,187,70
Toyota 4Runner SR5 V6,SUV,FWD,27710,24801,4,6,245,18,21,4.035,110,189,74
Toyota Highlander V6,SUV,AWD,27930,24915,3.3,6,230,18,24,3.935,107,185,72
Toyota Land Cruiser,SUV,AWD,54765,47986,4.7,8,325,13,17,5.39,112,193,76
Volkswagen Touareg V6,SUV,AWD,35515,32243,3.2,6,220,15,20,5.086,112,187,76
Volvo XC90 T6,SUV,AWD,41250,38851,2.9,6,268,15,20,4.638,113,189,75
Chevrolet Tracker,SUV,FWD,20255,19108,2.5,6,165,19,22,2.866,98,163,67
Ford Escape XLS,SUV,AWD,22515,20907,3,6,201,18,23,3.346,103,173,70
Honda CR-V LX,SUV,AWD,19860,18419,2.4,4,160,21,25,3.258,103,179,70
Honda Element LX,SUV,AWD,18690,17334,2.4,4,160,21,24,3.468,101,167,72
Hyundai Santa Fe GLS,SUV,FWD,21589,20201,2.7,6,173,20,26,3.549,103,177,73
Jeep Liberty Sport,SUV,AWD,20130,18973,2.4,4,150,20,24,3.826,104,174,72
Jeep Wrangler Sahara convertible 2dr,SUV,AWD,25520,23275,4,6,190,16,19,3.575,93,150,67
Land Rover Discovery SE,SUV,AWD,39250,35777,4.6,8,217,12,16,4.576,100,185,74
Land Rover Freelander SE,SUV,AWD,25995,23969,2.5,6,174,18,21,3.577,101,175,71
Mazda Tribute DX 2.0,SUV,AWD,21087,19742,2,4,130,22,25,3.091,103,173,72
Mitsubishi Outlander LS,SUV,FWD,18892,17569,2.4,4,160,21,27,3.24,103,179,69
Nissan Xterra XE V6,SUV,FWD,20939,19512,3.3,6,180,17,20,3.76,104,178,70
Suzuki Vitara LX,SUV,AWD,17163,16949,2.5,6,165,19,22,3.02,98,163,67
Toyota RAV4,SUV,AWD,20290,18553,2.4,4,161,22,27,3.119,98,167,68
Audi A6 3.0 Avant Quattro,Wagon,AWD,40840,37060,3,6,220,18,25,4.035,109,192,71
Audi S4 Avant Quattro,Wagon,AWD,49090,44446,4.2,8,340,15,21,3.936,104,179,70
BMW 325xi Sport,Wagon,AWD,32845,30110,2.5,6,184,19,26,3.594,107,176,69
Chevrolet Malibu Maxx LS,Wagon,FWD,22225,20394,3.5,6,200,22,30,3.458,112,188,70
Chrysler Pacifica,Wagon,RWD,31230,28725,3.5,6,250,17,23,4.675,116,199,79
Ford Focus ZTW,Wagon,FWD,17475,16375,2,4,130,26,33,2.702,103,178,67
Ford Taurus SE,Wagon,FWD,22290,20457,3,6,155,19,26,3.497,109,198,73
Infiniti FX35,Wagon,RWD,34895,31756,3.5,6,280,16,22,4.056,112,189,76
Infiniti FX45,Wagon,AWD,36395,33121,4.5,8,315,15,19,4.309,112,189,76
Kia Rio Cinco,Wagon,FWD,11905,11410,1.6,4,104,26,33,2.447,95,167,66
Lexus IS 300 SportCross,Wagon,RWD,32455,28647,3,6,215,18,24,3.41,105,177,68
Mercedes-Benz C240,Wagon,RWD,33780,31466,2.6,6,168,19,25,3.47,107,179,68
Mercedes-Benz E320,Wagon,RWD,50670,47174,3.2,6,221,19,27,3.966,112,190,71
Mercedes-Benz E500,Wagon,AWD,60670,56474,5,8,302,16,24,4.23,112,190,71
Mercury Sable GS,Wagon,FWD,22595,20748,3,6,155,19,26,3.488,109,198,73
Mitsubishi Lancer Sportback LS,Wagon,FWD,17495,16295,2.4,4,160,,,3.02,102,181,67
Nissan Murano SL,Wagon,RWD,28739,27300,3.5,6,245,20,25,3.801,111,188,74
Pontiac Vibe,Wagon,RWD,17045,15973,1.8,4,130,29,36,2.701,102,172,70
Saab 9-5 Aero,Wagon,FWD,40845,38376,2.3,4,250,19,29,3.62,106,190,71
Saturn L300 2,Wagon,FWD,23560,21779,2.2,4,140,24,34,3.109,107,190,69
Scion xB,Wagon,FWD,14165,13480,1.5,4,108,31,35,2.425,98,155,67
Subaru Forester X,Wagon,AWD,21445,19646,2.5,4,165,21,28,3.09,99,175,68
Subaru Outback,Wagon,AWD,23895,21773,2.5,4,165,21,28,3.43,104,187,69
Suzuki Aerio SX,Wagon,AWD,16497,16291,2.3,4,155,24,29,2.932,98,167,68
Toyota Matrix XR,Wagon,FWD,16695,15156,1.8,4,130,29,36,2.679,102,171,70
Volkswagen Jetta GL,Wagon,FWD,19005,17427,2,4,115,24,30,3.034,99,174,68
Volkswagen Passat GLS 1.8T,Wagon,FWD,24955,22801,1.8,4,170,22,31,3.338,106,184,69
Volkswagen Passat W8,Wagon,FWD,40235,36956,4,8,270,18,25,4.067,106,184,69
Volvo V40,Wagon,FWD,26135,24641,1.9,4,170,22,29,2.822,101,180,68
Volvo XC70,Wagon,AWD,35145,33112,2.5,5,208,20,27,3.823,109,186,73
Chevrolet Astro,Minivan,AWD,26395,23954,4.3,6,190,14,17,4.605,111,190,78
Chevrolet Venture LS,Minivan,FWD,27020,24518,3.4,6,185,19,26,3.699,112,187,72
Chrysler Town and Country LX,Minivan,FWD,27490,25371,3.3,6,180,19,26,4.068,119,201,79
Chrysler Town and Country Limited,Minivan,FWD,38380,35063,3.8,6,215,18,25,4.331,119,201,79
Dodge Caravan SE,Minivan,FWD,21795,20508,2.4,4,150,20,26,3.862,113,189,79
Dodge Grand Caravan SXT,Minivan,AWD,32660,29812,3.8,6,215,18,25,4.44,119,201,79
Ford Freestar SE,Minivan,FWD,26930,24498,3.9,6,193,17,23,4.275,121,201,77
GMC Safari SLE,Minivan,RWD,25640,23215,4.3,6,190,16,20,4.309,111,190,78
Honda Odyssey LX,Minivan,FWD,24950,22498,3.5,6,240,18,25,4.31,118,201,76
Honda Odyssey EX,Minivan,FWD,27450,24744,3.5,6,240,18,25,4.365,118,201,76
Kia Sedona LX,Minivan,FWD,20615,19400,3.5,6,195,16,22,4.802,115,194,75
Mazda MPV ES,Minivan,FWD,28750,26600,3,6,200,18,25,3.812,112,188,72
Mercury Monterey Luxury,Minivan,FWD,33995,30846,4.2,6,201,16,23,4.34,121,202,77
Nissan Quest S,Minivan,FWD,24780,22958,3.5,6,240,19,26,4.012,124,204,78
Nissan Quest SE,Minivan,FWD,32780,30019,3.5,6,240,18,25,4.175,124,204,78
Oldsmobile Silhouette GL,Minivan,FWD,28790,26120,3.4,6,185,19,26,3.948,120,201,72
Pontiac Montana,Minivan,FWD,23845,21644,3.4,6,185,19,26,3.803,112,187,72
Pontiac Montana EWB,Minivan,AWD,31370,28454,3.4,6,185,18,24,4.431,121,201,72
Toyota Sienna CE,Minivan,FWD,23495,21198,3.3,6,230,19,27,4.12,119,200,77
Toyota Sienna XLE Limited,Minivan,FWD,28800,25690,3.3,6,230,19,27,4.165,119,200,77
Cadillac Escalade EXT,Pickup,AWD,52975,48541,6,8,345,13,17,5.879,130,,
Chevrolet Avalanche 1500,Pickup,AWD,36100,31689,5.3,8,295,14,18,5.678,130,,
Chevrolet Colorado Z85,Pickup,AWD,18760,17070,2.8,4,175,18,23,3.623,111,,
Chevrolet Silverado 1500 Regular Cab,Pickup,RWD,20310,18480,4.3,6,200,15,21,4.142,119,,
Chevrolet Silverado SS,Pickup,AWD,40340,35399,6,8,300,13,17,4.804,144,,
Chevrolet SSR,Pickup,RWD,41995,39306,5.3,8,300,16,19,4.76,116,,
Dodge Dakota Regular Cab,Pickup,RWD,17630,16264,3.7,6,210,16,22,3.714,112,,
Dodge Dakota Club Cab,Pickup,RWD,20300,18670,3.7,6,210,16,22,3.829,131,,
Dodge Ram 1500 Regular Cab ST,Pickup,RWD,20215,18076,3.7,6,215,16,21,4.542,121,,
Ford F-150 Regular Cab XL,Pickup,RWD,22010,19490,4.6,8,231,15,19,4.788,126,,
Ford F-150 Supercab Lariat,Pickup,AWD,33540,29405,5.4,8,300,14,18,5.464,133,,
Ford Ranger 2.3 XL Regular Cab,Pickup,RWD,14385,13717,2.3,4,143,24,29,3.028,111,,
GMC Canyon Z85 SL Regular Cab,Pickup,RWD,16530,14877,2.8,4,175,19,24,3.351,111,,
GMC Sierra Extended Cab 1500,Pickup,RWD,25717,22604,4.8,8,285,17,20,4.548,144,,
GMC Sierra HD 2500,Pickup,AWD,29322,25759,6,8,300,,,5.44,133,,
GMC Sonoma Crew Cab,Pickup,AWD,25395,23043,4.3,6,190,15,19,4.083,123,,
Mazda B2300 SX Regular Cab,Pickup,RWD,14840,14070,2.3,4,143,24,29,2.96,112,,
Mazda B4000 SE Cab Plus,Pickup,AWD,22350,20482,4,6,207,15,19,3.571,126,,
Nissan Frontier King Cab XE V6,Pickup,AWD,19479,18253,3.3,6,180,17,20,3.932,116,,
Nissan Titan King Cab XE,Pickup,AWD,26650,24926,5.6,8,305,14,18,5.287,140,,
Subaru Baja,Pickup,AWD,24520,22304,2.5,4,165,21,28,3.485,104,,
Toyota Tacoma,Pickup,RWD,12800,11879,2.4,4,142,22,27,2.75,103,,
Toyota Tundra Regular Cab V6,Pickup,RWD,16495,14978,3.4,6,190,16,20,3.925,128,,
Toyota Tundra Access Cab V6 SR5,Pickup,AWD,25935,23520,3.4,6,190,14,17,4.435,128,,
